projeto,modo,status,AT,AC,AE,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,metodo,seed,fitness_final,AE_raw_surrogate,all_must_ok,best_generation,gens_executed,stop_reason,dom_score,eco_score,ling_score,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator,team_size_testado
P2,AE_FULL_SURROGATE,OK,0.8174605,0.8333333333333333,0.8201059722222221,32.233578,True,True,True,GA_CALIBRADO_CCC,21,0.8201059722222221,0.8201059722222221,True,25,45,stable_gens_no_improve,0.857143,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8174605,0.6,0.6362434166666667,33.079363,True,True,True,GA_CALIBRADO_CCC,22,0.6362434166666667,0.6362434166666667,True,15,35,stable_gens_no_improve,0.857143,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,24.031645,True,True,True,GA_CALIBRADO_CCC,23,0.8444445833333334,0.8444445833333334,True,24,44,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.7333333333333334,0.7500000277777779,49.247669,True,True,True,GA_CALIBRADO_CCC,24,0.7500000277777779,0.7500000277777779,True,23,43,stable_gens_no_improve,0.857143,1.0,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8432540555555555,0.7333333333333334,0.7516534537037037,43.326685,True,True,True,GA_CALIBRADO_CCC,25,0.7516534537037037,0.7516534537037037,True,32,52,stable_gens_no_improve,0.857143,1.0,0.8035715,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8432540555555555,0.7333333333333334,0.7516534537037037,44.924378,True,True,True,GA_CALIBRADO_CCC,26,0.7516534537037037,0.7516534537037037,True,27,47,stable_gens_no_improve,0.857143,1.0,0.8035715,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.7777780000000001,0.8,0.7814816666666667,15.594685,True,True,True,GA_CALIBRADO_CCC,27,0.7814816666666667,0.7814816666666667,True,39,59,stable_gens_no_improve,0.857143,0.857143,0.714286,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.857143,0.7333333333333334,0.7539682777777778,7.728477,True,True,True,GA_CALIBRADO_CCC,28,0.7539682777777778,0.7539682777777778,True,18,38,stable_gens_no_improve,0.857143,0.857143,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.7333333333333334,0.7500000277777779,41.320397,True,True,True,GA_CALIBRADO_CCC,29,0.7500000277777779,0.7500000277777779,True,23,43,stable_gens_no_improve,0.857143,1.0,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,38.811904,True,True,True,GA_CALIBRADO_CCC,30,0.8444445833333334,0.8444445833333334,True,26,46,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.820106,0.7333333333333334,0.7477954444444445,9.965793,True,True,True,GA_CALIBRADO_CCC,1,0.7477954444444445,0.7477954444444445,True,35,55,stable_gens_no_improve,0.857143,0.5238100000000001,0.857143,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,6.712772,True,True,True,GA_CALIBRADO_CCC,2,0.8108465833333334,0.8108465833333334,True,17,37,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.820106,0.7333333333333334,0.7477954444444445,7.875228,True,True,True,GA_CALIBRADO_CCC,3,0.7477954444444445,0.7477954444444445,True,41,61,stable_gens_no_improve,0.857143,0.5238100000000001,0.857143,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.7666666666666666,0.7830688055555556,7.663549,True,True,True,GA_CALIBRADO_CCC,4,0.7830688055555556,0.7830688055555556,True,30,50,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,7.598619,True,True,True,GA_CALIBRADO_CCC,5,0.8108465833333334,0.8108465833333334,True,38,58,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8174605,0.7999999999999999,0.8029100833333332,7.656169,True,True,True,GA_CALIBRADO_CCC,6,0.8029100833333332,0.8029100833333332,True,22,42,stable_gens_no_improve,0.6428575,0.428572,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,6.288012,True,True,True,GA_CALIBRADO_CCC,7,0.8108465833333334,0.8108465833333334,True,20,40,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,10.145281,True,True,True,GA_CALIBRADO_CCC,8,0.8108465833333334,0.8108465833333334,True,29,49,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.7666666666666666,0.7830688055555556,9.520566,True,True,True,GA_CALIBRADO_CCC,9,0.7830688055555556,0.7830688055555556,True,49,69,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,30.439919,True,True,True,GA_CALIBRADO_CCC,10,0.8108465833333334,0.8108465833333334,True,60,80,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,30.119424,True,True,True,GA_CALIBRADO_CCC,11,0.8108465833333334,0.8108465833333334,True,50,70,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8174605,0.8,0.8029100833333334,17.800285,True,True,True,GA_CALIBRADO_CCC,12,0.8029100833333334,0.8029100833333334,True,34,54,stable_gens_no_improve,0.857143,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.7666666666666666,0.7830688055555556,6.887538,True,True,True,GA_CALIBRADO_CCC,13,0.7830688055555556,0.7830688055555556,True,16,36,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,11.868967,True,True,True,GA_CALIBRADO_CCC,14,0.8108465833333334,0.8108465833333334,True,43,63,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.820106,0.7,0.7200176666666667,10.895376,True,True,True,GA_CALIBRADO_CCC,15,0.7200176666666667,0.7200176666666667,True,34,54,stable_gens_no_improve,0.857143,0.5238100000000001,0.857143,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.857143,0.7666666666666666,0.7817460555555554,21.078092,True,True,True,GA_CALIBRADO_CCC,16,0.7817460555555554,0.7817460555555554,True,39,59,stable_gens_no_improve,0.857143,0.857143,0.857143,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,22.149099,True,True,True,GA_CALIBRADO_CCC,17,0.8108465833333334,0.8108465833333334,True,20,40,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.746032,0.8333333333333333,0.7605822222222223,10.975824,True,True,True,GA_CALIBRADO_CCC,18,0.7605822222222223,0.7605822222222223,True,45,65,stable_gens_no_improve,0.6428575,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.820106,0.7333333333333334,0.7477954444444445,8.711012,True,True,True,GA_CALIBRADO_CCC,19,0.7477954444444445,0.7477954444444445,True,31,51,stable_gens_no_improve,0.857143,0.5238100000000001,0.857143,150,200,3,0.005,1.0,20,ccc,4
