project_id,candidate_id,teacher_score,surrogate_score,absolute_error
P2,P2_T198,0.267665,0.236971,0.030694
P2,P2_T199,0.264114,0.210748,0.053366
P2,P2_T200,0.254359,0.225678,0.028681
P3,P3_T001,0.149661,0.257407,0.107746
P3,P3_T002,0.122672,0.135979,0.013307
P3,P3_T003,0.141478,0.251852,0.110374
P3,P3_T004,0.136166,0.137169,0.001003
P3,P3_T005,0.122672,0.235185,0.112513
P3,P3_T006,0.149661,0.257407,0.107746
P3,P3_T007,0.257252,0.275959,0.018707
P3,P3_T008,0.155683,0.193386,0.037703
P3,P3_T009,0.136166,0.246296,0.110130
P3,P3_T010,0.138606,0.152646,0.014040
P3,P3_T011,0.122672,0.126058,0.003386
P3,P3_T012,0.136166,0.147090,0.010924
P3,P3_T013,0.254359,0.223887,0.030472
P3,P3_T014,0.288611,0.276653,0.011958
P3,P3_T015,0.160724,0.194533,0.033809
P3,P3_T016,0.325786,0.288272,0.037514
P3,P3_T017,0.122672,0.147002,0.024330
P3,P3_T018,0.264247,0.264760,0.000513
P3,P3_T019,0.142760,0.150860,0.008100
P3,P3_T020,0.122672,0.126058,0.003386
P3,P3_T021,0.155683,0.180986,0.025303
P3,P3_T022,0.127983,0.240741,0.112758
P3,P3_T023,0.122672,0.235185,0.112513
P3,P3_T024,0.136166,0.137169,0.001003
P3,P3_T025,0.149661,0.257407,0.107746
P3,P3_T026,0.163156,0.159392,0.003764
P3,P3_T027,0.254359,0.252822,0.001537
P3,P3_T028,0.122672,0.284788,0.162116
P3,P3_T029,0.168605,0.138360,0.030245
P3,P3_T030,0.183728,0.216755,0.033027
P3,P3_T031,0.160724,0.132804,0.027920
P3,P3_T032,0.136166,0.246296,0.110130
P3,P3_T033,0.319337,0.308025,0.011312
P3,P3_T034,0.122672,0.235185,0.112513
P3,P3_T035,0.122672,0.235185,0.112513
P3,P3_T036,0.127983,0.240741,0.112758
P3,P3_T037,0.136166,0.246296,0.110130
P3,P3_T038,0.122672,0.235185,0.112513
P3,P3_T039,0.273998,0.275871,0.001873
P3,P3_T040,0.127983,0.240741,0.112758
P3,P3_T041,0.149661,0.169224,0.019563
P3,P3_T042,0.122672,0.134325,0.011653
P3,P3_T043,0.154972,0.153836,0.001136
P3,P3_T044,0.165595,0.174868,0.009273
P3,P3_T045,0.136166,0.158113,0.021947
P3,P3_T046,0.149661,0.257407,0.107746
P3,P3_T047,0.283750,0.286982,0.003232
P3,P3_T048,0.163156,0.180335,0.017179
P3,P3_T049,0.136166,0.246296,0.110130
P3,P3_T050,0.122672,0.126058,0.003386
