projeto,team_size_testado,metodo,modo,seed,status,AT,AC,AE,fitness_final,AE_raw_surrogate,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,all_must_ok,dom_score,eco_score,ling_score,pc_score,pc_label,best_generation,gens_executed,stop_reason,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,3,OK,0.8650795,0.7666666666666666,0.7830688055555556,0.7830688055555556,0.7830688055555556,2.465688,True,True,True,True,0.6428575,0.857143,1.0,0.8,VH,21,41,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,4,OK,0.809524,0.8333333333333333,0.8134922222222222,0.8134922222222222,0.8134922222222222,2.785913,True,True,True,True,0.857143,0.428572,0.857143,0.8333333333333333,VH,28,48,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,5,OK,0.9365079999999999,0.7,0.739418,0.739418,0.739418,2.143656,True,True,True,True,0.857143,0.857143,1.0,0.7666666666666666,H,16,36,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,6,OK,0.7433865,0.5333333333333333,0.5683421944444444,0.5683421944444444,0.5683421944444444,2.024489,True,True,True,True,0.6428575,0.47619100000000003,0.857143,0.4666666666666667,M,16,36,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,7,OK,0.746032,0.7,0.707672,0.707672,0.707672,2.695624,True,True,True,True,0.6428575,0.857143,0.7857145,0.7666666666666666,H,28,48,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,8,OK,0.8227515,0.7,0.7204585833333333,0.7204585833333333,0.7204585833333333,3.149479,True,True,True,True,0.857143,0.9047620000000001,0.7857145,0.6333333333333333,H,36,56,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,9,OK,0.8650795,0.8,0.8108465833333334,0.8108465833333334,0.8108465833333334,2.854336,True,True,True,True,0.6428575,0.857143,1.0,0.8,VH,31,51,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,10,OK,0.857143,0.7666666666666666,0.7817460555555554,0.7817460555555554,0.7817460555555554,4.197423,True,True,True,True,0.857143,0.857143,0.857143,0.8,VH,63,83,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,11,OK,0.8174605,0.7666666666666666,0.7751323055555556,0.7751323055555556,0.7751323055555556,2.949121,True,True,True,True,0.6428575,0.428572,1.0,0.8,VH,32,52,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,12,OK,0.820106,0.7333333333333334,0.7477954444444445,0.7477954444444445,0.7477954444444445,3.621217,True,True,True,True,0.857143,0.5238100000000001,0.857143,0.8,VH,45,65,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,13,OK,0.8650795,0.7666666666666666,0.7830688055555556,0.7830688055555556,0.7830688055555556,3.190066,True,True,True,True,0.6428575,0.857143,1.0,0.7666666666666666,H,37,57,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,14,OK,0.857143,0.7666666666666666,0.7817460555555554,0.7817460555555554,0.7817460555555554,2.804492,True,True,True,True,0.857143,0.857143,0.857143,0.8,VH,27,47,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,15,OK,0.8174605,0.7666666666666666,0.7751323055555556,0.7751323055555556,0.7751323055555556,3.547842,True,True,True,True,0.6428575,0.428572,1.0,0.8,VH,44,64,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,16,OK,0.8650795,0.8,0.8108465833333334,0.8108465833333334,0.8108465833333334,2.727701,True,True,True,True,0.6428575,0.857143,1.0,0.8,VH,27,47,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,17,OK,0.8650795,0.7666666666666666,0.7830688055555556,0.7830688055555556,0.7830688055555556,2.659992,True,True,True,True,0.6428575,0.857143,1.0,0.8,VH,27,47,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,18,OK,0.89418,0.6333333333333333,0.6768077777777778,0.6768077777777778,0.6768077777777778,2.366253,True,True,True,True,0.857143,0.47619100000000003,1.0,0.7333333333333336,H,19,39,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,19,OK,0.8650795,0.7666666666666666,0.7830688055555556,0.7830688055555556,0.7830688055555556,3.726195,True,True,True,True,0.6428575,0.857143,1.0,0.8,VH,47,67,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
